original,corrected
UTILITY VE,
utilt,
utlit,
UTLL,
UTV,
utv bobcat,
UTYLI,
VA,
VAB,
VAM,
van,
vAN,
Van,
VAn,
VAN,
Van (,
van a,
VAN A,
VAN C,
Van Camper,
VAN F,
VAN FORD,
van s,
van t,
VAN T,
van truck,
Van truck,
Van Truck,
VAN TRUCK,
VAN U,
VAN W,
VAN WH,
VAN/B,
Van/R,
VAN/T,
VAN/TRANSI,
Van/Truck,
VAN/TRUCK,
VAN`,
Vanette,
vav,
VAV,
Veh L,
vehicle tr,
Vehicle Vandalism,
Veriz,
VERIZ,
VERZION VA,
vespa,
VESPA,
View Obstructed/Limited,
VMS,
VMS SIGN,
VMS T,
vn,
vol,
VPG,
wagon,
Wagon,
WAGON,
WANC,
waste,
WASTE,
Waste truc,
WC,
Well Driller,
wesco,
WESCO,
wg,
WH,
Wh Ford co,
wheel,
Wheel,
WHEEL,
wheel barr,
wheel load,
wheelchair,
WHEELCHAIR,
WHIT,
white,
White,
WHITE,
White box,
white van,
White Van,
WHITE VAN,
White Work,
WHITE WORK,
Windshield Inadequate,
WINNE,
work,
Work,
WORK,
work truck,
Work truck,
work van,
Work van,
Work Van,
WORK VAN,
Workcart,
WORKH,
WORKH UTIL,
WSTR,
X COM,
x trailer,
YALE,
Yamah,
Yamaha,
yello,
YELLO,
YELLOW BUS,
yellow cab,
YELLOW TAX,
YLL P,
YPS,
yw,
YW PO,
yy,
omm,
�MBU,
